org:resource,lifecycle:transition,time:timestamp,concept:name,case:concept:name
NONE,complete,2013-11-29 22:01:24.772000+00:00,Start Transaction,trace_0
NONE,complete,2013-11-29 23:01:24.772000+00:00,Start Transaction Request Registration,trace_0
NONE,complete,2013-11-30 00:01:24.772000+00:00,Register Request Sender,trace_0
NONE,complete,2013-11-30 01:01:24.772000+00:00,Register Request Details,trace_0
NONE,complete,2013-11-30 02:01:24.772000+00:00,Register Request Receiver,trace_0
NONE,complete,2013-11-30 03:01:24.772000+00:00,Finish Transaction Request Registration,trace_0
NONE,complete,2013-11-30 04:01:24.772000+00:00,Start Sender Authentification,trace_0
NONE,complete,2013-11-30 05:01:24.772000+00:00,Check Sender Personal ID,trace_0
NONE,complete,2013-11-30 06:01:24.772000+00:00,Request Bank ID,trace_0
NONE,complete,2013-11-30 07:01:24.772000+00:00,Generate Bank ID,trace_0
NONE,complete,2013-11-30 08:01:24.772000+00:00,Low Check Sender Profile,trace_0
NONE,complete,2013-11-30 09:01:24.772000+00:00,Low Check Sender Historial,trace_0
NONE,complete,2013-11-30 10:01:24.772000+00:00,Activate Bank ID,trace_0
NONE,complete,2013-11-30 11:01:24.772000+00:00,Register New Client,trace_0
NONE,complete,2013-11-30 12:01:24.772000+00:00,Finish Sender Authentification,trace_0
NONE,complete,2013-11-30 13:01:24.772000+00:00,SPV,trace_0
NONE,complete,2013-11-30 14:01:24.772000+00:00,Start Account Payment Processing,trace_0
NONE,complete,2013-11-30 15:01:24.772000+00:00,Request Account Payment,trace_0
NONE,complete,2013-11-30 16:01:24.772000+00:00,Start Account Verification,trace_0
NONE,complete,2013-11-30 17:01:24.772000+00:00,Check Account Payment Request,trace_0
NONE,complete,2013-11-30 18:01:24.772000+00:00,Update Request Account Payment,trace_0
NONE,complete,2013-11-30 19:01:24.772000+00:00,Request Account Payment,trace_0
NONE,complete,2013-11-30 20:01:24.772000+00:00,Check Account Payment Request,trace_0
NONE,complete,2013-11-30 21:01:24.772000+00:00,Accept Request Account Payment,trace_0
NONE,complete,2013-11-30 22:01:24.772000+00:00,Bank Account Verification,trace_0
NONE,complete,2013-11-30 23:01:24.772000+00:00,Authorities Account Verification,trace_0
NONE,complete,2013-12-01 00:01:24.772000+00:00,Finish Account Verification,trace_0
NONE,complete,2013-12-01 01:01:24.772000+00:00,Process and Block Account Payment,trace_0
NONE,complete,2013-12-01 02:01:24.772000+00:00,Communicate Account Payment Authorities,trace_0
NONE,complete,2013-12-01 03:01:24.772000+00:00,ECPR,trace_0
NONE,complete,2013-12-01 04:01:24.772000+00:00,Register and Close Account Payment,trace_0
NONE,complete,2013-12-01 05:01:24.772000+00:00,Finish Account Payment Processing,trace_0
NONE,complete,2013-12-01 06:01:24.772000+00:00,Finish Payment Processing,trace_0
NONE,complete,2013-12-01 07:01:24.772000+00:00,Start Receiver Processing,trace_0
