CaseID,Activity,Starttimes,Completetimes
case 1,组建团队分工,2021/3/26 15:00,2021/3/26 16:00
case 1,将负责的功能模块细分,2021/3/26 17:00,2021/3/26 17:30
case 1,上网查资料,2021/3/26 17:35,2021/3/26 20:05
case 1,编写功能五,2021/3/27 18:30,2021/3/27 19:43
case 1,分析功能六，上网查资料,2021/3/29 19:50,2021/3/29 21:30
case 1,编写功能六,2021/3/31 6:00,2021/4/3 22:30
case 1,放弃死磕，保留疑问,2021/4/1 23:10,2021/4/3 22:30
case 1,分析功能七，上网查资料,2021/4/5 8:00,2021/4/5 9:00
case 1,编写功能七,2021/4/5 9:00,2021/4/5 15:17
case 1,上网寻求解决导入包的方法,2021/4/5 22:34,2021/4/6 18:00
case 1,重新更正思路，将面向过程思维转换成面向对象思维,2021/4/13 11:00,2021/4/13 11:30
case 1,初步编写功能五,2021/4/14 14:24,2021/4/14 15:22
case 1,关于数据库与问题号的结合问题上网查询资料,2021/4/14 15:25,2021/4/14 15:40
case 1,"关于“Syntax error on token ""."", @ expected after this token”问题查找资料",2021/4/14 15:45,2021/4/14 16:06
case 1,功能五初步编写完,2021/4/14 18:30,2021/4/14 18:51
case 1,完善编写功能六,2021/4/14 18:52,2021/4/14 19:38
case 1,重写功能七，改为监听方式,2021/4/15 18:00,2021/4/17 15:59
case 1,编写功能八,2021/4/17 16:00,2021/4/17 17:36
case 2,组建团队分工,2021/3/27 13:17,2021/3/27 15:26
case 2,建立Teacher类,2021/3/27 10:24,2021/4/7 16:34
case 2,上网查资料,2021/3/28 15:40,2021/3/28 16:02
case 2,编写sethomework函数,2021/3/28 9:57,2021/3/28 17:24
case 2,编写lookupone函数,2021/3/28 19:46,2021/3/28 20:22
case 2,编写tinform函数,2021/3/28 11:13,2021/3/28 12:06
case 2,编写shallfile函数,2021/3/28 14:15,2021/3/28 19:12
case 2,学习课本知识,2021/3/31 15:09,2021/3/31 15:47
case 2,团队交流,2021/4/4 11:15,2021/4/4 16:32
case 3,组建团队分工,2021/3/27 13:17,2021/3/27 15:26
case 3,建立OTSSs类,2021/3/27 10:24,2021/4/7 16:34
case 3,上网查资料,2021/3/28 15:40,2021/3/28 16:02
case 3,编写showQuestion函数,2021/3/28 9:57,2021/3/28 17:24
case 3,编写showfile函数,2021/3/28 19:46,2021/3/28 20:22
case 3,编写showsethomework函数,2021/3/28 11:13,2021/3/28 12:06
case 3,编写apply函数,2021/3/28 14:15,2021/3/28 19:12
case 3,学习课本知识,2021/3/31 15:09,2021/3/31 15:47
case 3,团队交流,2021/4/4 11:15,2021/4/4 16:32
case 4,组建团队分工,2021/3/26 14:51,2021/3/26 15:50
case 4,上网查资料,2021/3/27 9:20,2021/3/27 11:30
case 4,学习继承,2021/4/2 7:30,2021/4/2 8:31
case 4,学习多态,2021/4/3 9:41,2021/4/3 11:57
case 4,上网查资料,2021/4/4 13:32,2021/4/4 15:23
case 4,讨论Docdetail,2021/4/4 15:48,2021/4/4 16:20
case 4,讨论Admin,2021/4/4 18:25,2021/4/4 19:36
case 4,上网查资料,2021/4/5 20:21,2021/4/5 21:10
case 4,编写job,2021/4/6 22:00,2021/4/6 22:37
case 4,讨论编写部分jxzy,2021/4/6 9:31,2021/4/6 11:32
case 4,讨论编写部分notice,2021/4/6 13:32,2021/4/6 15:33
case 4,讨论编写部分pinglun,2021/4/7 15:33,2021/4/7 16:34
case 4,上网查资料,2021/4/7 17:34,2021/4/7 18:50
case 4,讨论编写部分teacherjob,2021/4/8 20:35,2021/4/8 21:10
case 4,编写部分zhmm,2021/4/9 22:00,2021/4/9 22:37
case 4,讨论zxjx,2021/4/10 14:00,2021/4/10 16:36
case 5,组建团队分工,2021/3/29 15:51,2021/3/29 15:55
case 5,阅读功能需求,2021/3/29 15:55,2021/3/29 16:05
case 5,在纸上构建类图及相关功能,2021/4/1 9:30,2021/4/1 11:30
case 5,建立相关类并封装其属性与方法,2021/4/2 11:30,2021/4/4 15:32
case 5,完成相关方法的书写,2021/4/4 15:32,2021/4/4 19:32
case 5,查阅相关方法资料并尽力完成,2021/4/4 19:32,2021/4/5 16:34
case 5,将各类分于各package内,2021/4/5 16:34,2021/4/6 19:50
case 5,查阅docx文档相关独写办法,2021/4/6 19:50,2021/4/6 23:50
case 5,学习POI jar包内的相关功能,2021/4/7 11:30,2021/4/8 2:37
case 5,学习java IO流式读写的相关方法,2021/4/9 20:31,2021/4/10 23:32
case 5,完善相关功能,2021/4/11 13:32,2021/4/11 15:33
case 5,类比数据库将相关数据存于相关文件,2021/4/13 13:33,2021/4/13 15:34
case 5,整合各类并测试功能,2021/4/14 17:24,2021/4/14 18:32
case 5,修改bug,2021/4/15 11:35,2021/4/16 14:10
case 5,完善UI界面,2021/4/16 22:00,2021/4/16 23:54
case 5,编写main函数调用,2021/4/16 23:54,2021/4/17 0:02
case 5,做课件,2021/4/18 11:20,2021/4/19 10:02
case 6,组建团队分工,2021/3/27 12:41,2021/3/27 13:10
case 6,上网查资料,2021/3/28 19:45,2021/3/28 21:34
case 6,上网查资料,2021/4/1 15:20,2021/4/1 17:05
case 6,学习继承知识,2021/4/3 8:31,2021/4/3 11:25
case 6,学习多态知识,2021/4/3 15:02,2021/4/3 16:44
case 6,学习接口知识,2021/4/3 20:23,2021/4/3 22:02
case 6,编写Homework类,2021/4/4 12:10,2021/4/4 13:02
case 6,编写Jxzy类,2021/4/4 19:35,2021/4/4 22:16
case 6,编写Text类,2021/4/5 19:00,2021/4/5 20:37
case 6,编写tp类,2021/4/4 21:31,2021/4/4 22:56
case 6,编写User类,2021/4/7 8:02,2021/4/7 12:25
case 6,编写zxjx类主体,2021/4/7 13:20,2021/4/7 16:36
case 6,检查模块一,2021/4/7 17:23,2021/4/7 17:50
case 6,检查模块二,2021/4/7 18:15,2021/4/7 18:45
case 6,检查模块三和四,2021/4/7 20:00,2021/4/7 21:48
case 6,编写模块五六七,2021/4/10 21:00,2021/4/19 20:00
case 6,检查运行程序,2021/4/19 20:30,2021/4/19 23:55
case 7,组建团队分工,2021/3/27 10:30,2021/3/27 10:50
case 7,建立OTSSs类,2021/3/27 10:54,2021/4/6 15:48
case 7,建立Teacher类,2021/3/27 10:24,2021/4/7 16:34
case 7,团队交流,2021/3/27 13:17,2021/3/27 15:26
case 7,编写函sethomework数,2021/3/27 9:57,2021/3/27 17:24
case 7,建立Student类,2021/3/27 11:26,2021/4/7 14:17
case 7,编写lookupone函数,2021/3/27 19:46,2021/3/27 20:22
case 7,编写lookupall函数,2021/3/28 9:24,2021/3/28 10:02
case 7,编写tinform函数,2021/3/28 11:13,2021/3/28 12:06
case 7,编写shallfile函数,2021/3/28 14:15,2021/3/28 19:12
case 7,上网查资料,2021/3/28 15:40,2021/3/28 16:02
case 7,编写AQuestion函数,2021/3/30 19:18,2021/3/30 19:40
case 7,编写sumited函数,2021/3/30 19:40,2021/3/30 19:42
case 7,编写tinformshow函数,2021/3/31 14:34,2021/3/31 16:22
case 7,上网查资料,2021/3/31 14:57,2021/3/31 15:09
case 7,学习课本知识,2021/3/31 15:09,2021/3/31 15:47
case 7,编写showQuestion函数,2021/3/31 16:21,2021/3/31 17:06
case 7,编写showfile函数,2021/4/2 14:04,2021/4/2 14:48
case 7,编写showsethomework函数,2021/4/2 15:06,2021/4/2 16:37
case 7,学习课本知识,2021/4/3 14:25,2021/4/3 16:28
case 7,上网查资料,2021/4/4 9:19,2021/4/4 9:48
case 7,编写apply函数,2021/4/4 10:03,2021/4/4 10:37
case 7,团队交流,2021/4/4 11:15,2021/4/5 15:06
case 8,组建团队分工,2021/3/26 14:51,2021/3/26 15:50
case 8,上网查资料,2021/3/27 9:20,2021/3/27 11:30
case 8,查资料，构思,2021/4/5 8:30,2021/4/5 15:31
case 8,查资料，构思,2021/4/6 9:31,2021/4/6 11:32
case 8,查资料，构思，尝试编写,2021/4/7 13:32,2021/4/7 15:33
case 8,查资料，构思，尝试编写,2021/4/8 17:34,2021/4/8 18:50
case 8,查资料，构思，尝试编写,2021/4/8 20:35,2021/4/8 21:10
case 8,查资料，构思，尝试编写,2021/4/8 22:00,2021/4/8 22:37
case 8,查资料，构思，尝试编写,2021/4/9 9:55,2021/4/4 11:32
case 8,查找如何将集合存入txt文档,2021/4/9 13:32,2021/4/9 15:33
case 8,查找如何将集合存入txt文档,2021/4/9 15:55,2021/4/9 16:34
case 8,查找如何将集合存入txt文档,2021/4/9 17:34,2021/4/9 18:50
case 8,编写录取试题,2021/4/9 20:35,2021/4/9 21:10
case 8,查找如何将txt文档的内容存入集合并输出,2021/4/9 22:00,2021/4/9 22:37
case 8,查找如何将txt文档的内容存入集合并输出,2021/4/10 13:00,2021/4/10 18:00
case 8,查找如何将txt文档的内容存入集合并输出,2021/4/10 20:00,2021/4/10 22:37
case 8,查找如何将txt文档的内容存入集合并输出，尝试编写,2021/4/11 8:00,2021/4/11 11:32
case 8,查找如何将txt文档的内容存入集合并输出，尝试编写,2021/4/11 20:00,2021/4/11 22:40
case 8,查找如何将txt文档的内容存入集合并输出，尝试编写,2021/4/12 11:00,2021/4/12 21:00
case 8,不会，放弃这个想法，改成直接输出文档,2021/4/13 20:00,2021/4/13 22:00
case 8,编写考试类,2021/4/14 19:00,2021/4/9 22:10
case 8,编写批改试卷,2021/4/15 20:35,2021/4/15 21:10
case 8,编写发布作业、设置时间,2021/4/16 9:00,2021/4/16 22:37
case 8,编写交作业类,2021/4/17 10:00,2021/4/17 18:00
case 8,整合之前所有做的功能发现出了很多bug,2021/4/17 20:00,2021/4/17 22:37
case 8,发现之前写的上传文件的功能突然出了bug，总是显示连接超时，防火墙关了也还是不行,2021/4/18 8:00,2021/4/18 11:32
case 8,一直写一直有bug，觉得身心疲惫,2021/4/18 14:00,2021/4/18 22:40
case 8,结合组员的程序写完了简易版本，连接超时的bug在我的电脑还是没有能够解决,2021/4/19 11:00,2021/4/19 17:56
case 9,组建团队分工,2021/3/27 8:39,2021/3/27 8:45
case 9,上网查资料,2021/4/1 10:30,2021/4/1 11:21
case 9,查询上课PPT,2021/4/1 12:31,2021/4/3 12:46
case 9,编写第一个类one,2021/4/3 13:32,2021/4/3 15:33
case 9,上网查继承多态相关知识,2021/4/3 9:46,2021/4/3 10:06
case 9,和团队交流思路,2021/4/3 17:34,2021/4/3 18:50
case 9,上网查询循环嵌套,2021/4/4 15:20,2021/4/4 16:08
case 9,编写提交作业的函数功能,2021/4/4 16:08,2021/4/4 17:00
case 9,和组长交流下一步任务,2021/4/6 14:31,2021/4/6 14:55
case 9,测试程序功能,2021/4/7 10:22,2021/4/7 11:03
case 9,查看课堂PPT,2021/4/7 12:00,2021/4/7 12:20
case 9,上网查询数据库相关用法,2021/4/7 13:34,2021/4/7 14:07
case 9,上网查询数据库知识,2021/4/7 15:26,2021/4/7 16:10
case 9,编写测试的老师学生库,2021/4/7 19:07,2021/4/7 22:19
case 9,熟悉PPT,2021/4/18 20:12,2021/4/18 20:41
case 9,熟悉PPT测试程序,2021/4/19 16:34,2021/4/19 17:56
case 10,组建团队分工,2021/3/27 8:53,2021/3/27 9:37
case 10,上网查资料,2021/3/28 13:20,2021/3/28 13:30
case 10,团队分工,2021/4/2 9:55,2021/4/2 11:31
case 10,编写Teacher类,2021/4/5 9:31,2021/4/5 11:32
case 10,上网查资料,2021/4/5 12:32,2021/4/5 15:33
case 10,编写Student类,2021/4/6 16:53,2021/4/6 18:34
case 10,编写Otssuser 类,2021/4/7 14:36,2021/4/7 18:50
case 10,上网查资料,2021/4/8 13:35,2021/4/8 14:10
case 10,编写Testusers类,2021/4/9 11:00,2021/4/9 14:37
case 10,编写question类,2021/4/10 16:31,2021/4/10 17:32
case 10,编写answer类,2021/4/10 18:36,2021/4/14 19:39
case 10,上传users类answer类整合所有部分,2021/4/12 16:31,2021/4/12 17:32
case 10,修改Teacher类,2021/4/14 13:36,2021/4/14 15:39
case 10,修改Stdent类,2021/4/16 10:33,2021/4/16 16:34
case 10,完善代码,2021/4/17 17:34,2021/4/17 18:50
case 10,写完日志,2020/4/18 9:23,2020/4/18 9:25
case 11,组建团队分工,2021/3/27 11:10,2021/3/27 11:30
case 11,分析在线教学管理系统的层次结构以及构思框架,2021/3/28 11:30,2021/3/28 14:30
case 11,查阅Java连接数据库的资料以及代码实现数据库连接,2021/3/28 18:10,2021/3/28 19:27
case 11,查阅Java利用多线程如何实现下载与上传以及代码实现,2021/3/29 19:27,2021/3/29 23:37
case 11,构造框架，监听的方法实现发布消息，查阅短信通知资料,2021/3/30 19:10,2021/3/30 21:40
case 11,查阅Java上传文件的方法,2021/3/31 20:00,2021/3/31 22:34
case 11,实现阅读，上传,2021/4/7 13:30,2021/4/7 17:00
case 11,实现控制台登陆,2021/4/14 13:30,2021/4/14 15:40
case 11,实现数据库数据一致，改bug,2021/4/14 15:35,2021/4/14 21:00
case 11,考试模块实现改bug，一个包下调用另一个方法，静态直接类名.方法名，非静态需要实例化后调用,2021/4/16 14:00,2021/4/16 19:00
case 11,导入其他功能模块，修改bug,2021/4/17 6:00,2021/4/17 23:00
case 11,制作ppt,2021/4/19 14:00,2021/4/19 19:30
case 12,组建团队分工,2021/3/26 14:51,2021/3/26 15:50
case 12,上网查资料,2021/3/27 9:20,2021/3/27 11:30
case 12,上网查资料,2021/3/28 13:30,2021/3/28 15:31
case 12,学习继承知识,2021/3/29 9:31,2021/3/29 11:32
case 12,学习多态知识,2021/3/29 13:32,2021/3/29 15:33
case 12,查找数据库资料,2021/4/1 15:33,2021/4/1 16:34
case 12,编写学生类,2021/4/2 16:43,2021/4/2 18:34
case 12,编写学生类,2021/4/3 20:35,2021/4/3 21:10
case 12,编写教师一部分代码,2021/4/4 12:00,2021/4/4 14:00
case 12,代码拼接,2021/4/6 22:00,2021/4/6 22:30
case 12,修改代码,2021/4/16 20:10,2021/4/16 22:36
case 12,检查代码是否允许,2021/4/17 8:12,2021/4/17 8:32
case 12,寻找错误,2021/4/17 8:56,2021/4/17 9:21
case 12,制作ppt,2021/4/18 12:22,2021/4/18 6:33
case 13,组建团队分工,2021/3/27 9:30,2021/3/27 9:50
case 13,建立OTSSs类,2021/3/27 9:54,2021/4/6 19:48
case 13,建立Teacher类,2021/3/27 10:24,2021/4/7 16:34
case 13,团队交流,2021/3/27 13:17,2021/3/27 13:26
case 13,编写SetBooks函数,2021/3/27 9:57,2021/3/27 17:24
case 13,建立Student类,2021/3/27 11:26,2021/4/7 14:17
case 13,编写addBooks函数,2021/3/27 19:46,2021/3/27 20:22
case 13,编写delete函数,2021/3/28 9:24,2021/3/28 10:02
case 13,编写creatBooks函数,2021/3/28 11:13,2021/3/28 12:06
case 13,编写DeleteBooks函数,2021/3/28 14:15,2021/3/28 19:12
case 13,上网查资料,2021/3/28 15:40,2021/3/28 16:02
case 13,编写SetPow函数,2021/3/30 19:18,2021/3/30 19:40
case 13,编写GetPow函数,2021/3/30 19:40,2021/3/30 19:42
case 13,编写share函数,2021/3/31 14:34,2021/3/31 16:22
case 13,上网查资料,2021/3/31 14:57,2021/3/31 15:09
case 13,学习课本知识,2021/3/31 15:09,2021/3/31 15:47
case 13,编写SetHomework函数,2021/3/31 16:21,2021/3/31 17:06
case 13,编写correct函数,2021/4/2 14:04,2021/4/2 14:48
case 13,编写subjectLibrary函数,2021/4/2 15:06,2021/4/2 16:37
case 13,编写question函数,2021/4/3 14:25,2021/4/3 16:28
case 13,编写email函数,2021/4/4 9:18,2021/4/4 12:21
case 13,学习课本知识,2021/4/4 9:19,2021/4/4 9:48
case 13,上网查资料,2021/4/4 10:03,2021/4/4 10:37
case 13,编写apply函数,2021/4/4 11:15,2021/4/4 16:32
case 13,团队交流,2021/4/5 14:42,2021/4/5 15:06
case 14,组建团队分工,2021/3/26 14:51,2021/3/26 15:50
case 14,上网查资料,2021/3/28 10:45,2021/3/28 11:56
case 14,查资料，构思,2021/3/31 8:00,2021/3/31 9:35
case 14,查资料，构思,2021/4/3 13:31,2021/4/3 14:32
case 14,查资料，构思，尝试编写,2021/4/6 14:32,2021/4/6 15:33
case 14,查资料，构思，尝试编写,2021/4/8 17:34,2021/4/8 18:50
case 14,查资料，构思，尝试编写,2021/4/8 20:44,2021/4/8 21:23
case 14,查资料，构思，尝试编写,2021/4/8 22:00,2021/4/8 22:25
case 14,查资料，构思，尝试编写,2021/4/9 10:15,2021/4/4 11:32
case 14,编写发布消息,2021/4/9 14:32,2021/4/9 15:33
case 14,看课本,2021/4/9 15:55,2021/4/9 16:34
case 14,编写查看老师发布的消息,2021/4/9 17:25,2021/4/9 18:13
case 14,编写学生提问,2021/4/9 20:33,2021/4/9 21:55
case 14,看课本,2021/4/9 22:00,2021/4/9 22:42
case 14,编写学生提问,2021/4/10 13:00,2021/4/10 18:12
case 14,编写老师解答,2021/4/10 20:12,2021/4/10 22:48
case 14,编写老师解答,2021/4/11 8:55,2021/4/11 11:32
case 14,编写老师解答，查资料，不会把老师的消息置顶,2021/4/11 20:23,2021/4/11 22:55
case 14,决定全部用字节流读写文件、操作文件实现,2021/4/12 11:12,2021/4/12 20:13
case 14,编写学生查看老师解答,2021/4/13 20:00,2021/4/13 22:00
case 14,编写,2021/4/14 19:15,2021/4/9 22:10
case 14,编写登录,2021/4/15 20:30,2021/4/15 21:14
case 14,编写学生类,2021/4/16 10:20,2021/4/16 21:37
case 14,整合,2021/4/17 10:45,2021/4/17 18:54
case 14,修改,2021/4/17 20:25,2021/4/17 22:27
case 14,修改,2021/4/18 8:21,2021/4/18 11:33
case 14,修改,2021/4/18 14:00,2021/4/18 22:40
case 14,修改,2021/4/19 10:00,2021/4/19 18:29
case 15,组建团队分工,2021/3/27 8:53,2021/3/27 13:30
case 15,编写功能四,2021/3/28 8:00,2021/4/17 15:39
case 15,编写TestingSystem类,2021/3/28 8:00,2021/4/17 15:39
case 15,编写ptest函数,2021/3/28 9:00,2021/4/17 15:39
case 15,编写Exam函数,2021/3/29 8:00,2021/4/10 20:00
case 15,编写fileName函数,2021/4/11 20:00,2021/4/12 21:00
